Function,Dims,Model,Run,MSE,MAE,R2,RMSE,train_time,n_params,expression,best_generation,best_fitness
sphere,2,ChebyKAN-matched,0,4.657310350815876e-05,0.005496892857871412,0.9990854745763109,0.006824448952711036,6.025502920150757,20,,-1,
sphere,2,ChebyKAN-matched,1,5.624064117571564e-05,0.005967010969753386,0.9988956394930658,0.007499376052427004,5.0761590003967285,20,,-1,
sphere,2,ChebyKAN-matched,2,5.272149348878111e-05,0.005786297332179235,0.9989647426832549,0.007260956788797266,6.095058917999268,20,,-1,
sphere,2,ChebyKAN-matched,3,5.217024429105162e-05,0.005734226298904454,0.9989755672014454,0.007222897222794439,3.3154101371765137,20,,-1,
sphere,2,ChebyKAN-matched,4,4.1449533481349166e-05,0.005101457017181682,0.9991860827534909,0.006438131210324093,6.955021142959595,20,,-1,
sphere,5,ChebyKAN-matched,0,0.0001536117359379579,0.010003577031215493,0.9944501422069596,0.01239402016853119,7.741221189498901,35,,-1,
sphere,5,ChebyKAN-matched,1,0.00011774913331909883,0.008559749097029468,0.9957458267027287,0.01085122727248392,7.016479969024658,35,,-1,
sphere,5,ChebyKAN-matched,2,0.0002330355025099121,0.012357917408953423,0.9915806309214417,0.015265500401556187,6.994430065155029,35,,-1,
sphere,5,ChebyKAN-matched,3,0.00021809635392727907,0.011843270606811984,0.9921203693058591,0.014768085655469332,7.065551996231079,35,,-1,
sphere,5,ChebyKAN-matched,4,0.00022973322137307238,0.012002949385884249,0.9916999394533724,0.015156952905286484,6.984242916107178,35,,-1,
rosenbrock,2,ChebyKAN-matched,0,0.00700545629454798,0.06352432718826859,0.7634659311856243,0.08369860389844015,4.165827989578247,20,,-1,
rosenbrock,2,ChebyKAN-matched,1,0.007023866124093716,0.06368996157945894,0.7628443368589248,0.08380850866167298,4.006127834320068,20,,-1,
rosenbrock,2,ChebyKAN-matched,2,0.006888852465816752,0.06300715158320415,0.7674029735265488,0.08299911123510151,3.257517099380493,20,,-1,
rosenbrock,2,ChebyKAN-matched,3,0.007045187316745167,0.06381910740484706,0.7621244425026147,0.08393561411430292,3.896419048309326,20,,-1,
rosenbrock,2,ChebyKAN-matched,4,0.006933961340234487,0.0632599876982243,0.765879905626751,0.0832704109527177,3.371581792831421,20,,-1,
rosenbrock,5,ChebyKAN-matched,0,0.006809298904737481,0.06604282728281245,0.773833750119802,0.08251847614163438,1.1439669132232666,35,,-1,
rosenbrock,5,ChebyKAN-matched,1,0.00676801045845618,0.06364694855959906,0.7752051178904729,0.08226791876823054,1.0665693283081055,35,,-1,
rosenbrock,5,ChebyKAN-matched,2,0.0063159971433323315,0.06173855306250999,0.7902184339172303,0.079473247972713,2.8278181552886963,35,,-1,
rosenbrock,5,ChebyKAN-matched,3,0.006406778440544738,0.06287588606939902,0.7872031946338578,0.08004235404174928,1.0789480209350586,35,,-1,
rosenbrock,5,ChebyKAN-matched,4,0.0070593603683973445,0.0650926790889553,0.7655281280188017,0.08401999981193373,1.0116117000579834,35,,-1,
rastrigin,2,ChebyKAN-matched,0,0.014693305307219275,0.09792574288737713,0.5699029866609281,0.12121594493802898,2.691777229309082,20,,-1,
rastrigin,2,ChebyKAN-matched,1,0.014851553957314731,0.09864762932208437,0.5652707905452212,0.12186695186684014,2.190218925476074,20,,-1,
rastrigin,2,ChebyKAN-matched,2,0.01480999277877411,0.09818959398391845,0.566487354033655,0.12169631374357281,1.9444332122802734,20,,-1,
rastrigin,2,ChebyKAN-matched,3,0.014644450597307785,0.09768197466193893,0.5713330437094367,0.12101425782653788,3.506255865097046,20,,-1,
rastrigin,2,ChebyKAN-matched,4,0.014908891536702416,0.09821320649234,0.563592426070305,0.12210197187884565,2.648142099380493,20,,-1,
rastrigin,5,ChebyKAN-matched,0,0.01487918130759524,0.09623099822901059,0.4449862852757289,0.1219802496619647,1.9607532024383545,35,,-1,
rastrigin,5,ChebyKAN-matched,1,0.014839885366855035,0.09593329949196822,0.4464520773507722,0.12181906815788338,1.8661949634552002,35,,-1,
rastrigin,5,ChebyKAN-matched,2,0.014841368357309734,0.09650241076864592,0.4463967597883238,0.12182515486265443,1.3341341018676758,35,,-1,
rastrigin,5,ChebyKAN-matched,3,0.014852403704969961,0.09627718467489711,0.44598512630046183,0.12187043819142508,1.9540469646453857,35,,-1,
rastrigin,5,ChebyKAN-matched,4,0.014715737285225253,0.09596943731143259,0.45108296977266005,0.12130843863979641,3.5016729831695557,35,,-1,
griewank,2,ChebyKAN-matched,0,6.721707539505846e-05,0.006464694744858625,0.9986804549510037,0.008198602039070958,5.607805967330933,20,,-1,
griewank,2,ChebyKAN-matched,1,6.494407924460462e-05,0.0063650107755110754,0.9987250763630346,0.008058788944041445,5.514892101287842,20,,-1,
griewank,2,ChebyKAN-matched,2,6.603227885821023e-05,0.006459474408978654,0.9987037138088917,0.008126024788185809,6.118005037307739,20,,-1,
griewank,2,ChebyKAN-matched,3,6.296513335411511e-05,0.006305304365268736,0.9987639252453563,0.007935057236977886,3.3478260040283203,20,,-1,
griewank,2,ChebyKAN-matched,4,5.1582561036514685e-05,0.00568748824932502,0.9989873776472683,0.007182100043616399,5.449031829833984,20,,-1,
griewank,5,ChebyKAN-matched,0,0.00020409851643933254,0.011635379641838221,0.9926101451912138,0.014286305206012245,7.019654273986816,35,,-1,
griewank,5,ChebyKAN-matched,1,0.00012045831035367965,0.008678300878897063,0.9956385306490457,0.01097535012442335,6.9930031299591064,35,,-1,
griewank,5,ChebyKAN-matched,2,0.0002358686559412521,0.012478565341893939,0.9914598344380053,0.015358016015789674,6.9970691204071045,35,,-1,
griewank,5,ChebyKAN-matched,3,0.00022155589934137965,0.011927033926695833,0.9919780606114816,0.014884753922768749,7.076957941055298,35,,-1,
griewank,5,ChebyKAN-matched,4,0.000232695788564097,0.012113807535738416,0.9915747153771408,0.015254369490873656,7.003063201904297,35,,-1,
ackley,2,ChebyKAN-matched,0,0.004285598495608326,0.049712497834053286,0.8732416713400678,0.06546448270328213,4.20810866355896,20,,-1,
ackley,2,ChebyKAN-matched,1,0.004296508631303578,0.049846066798672976,0.8729189741560921,0.06554775840029603,4.668960809707642,20,,-1,
ackley,2,ChebyKAN-matched,2,0.004308335246397717,0.04990073050196768,0.8725691695804714,0.06563791013124745,5.0099310874938965,20,,-1,
ackley,2,ChebyKAN-matched,3,0.004318175984657102,0.04999090806354581,0.8722781027584585,0.06571282968079446,5.08524489402771,20,,-1,
