Function,Dims,Model,Run,MSE,MAE,R2,RMSE,train_time,n_params,expression,best_generation,best_fitness
sphere,2,GA-OBN (v1),0,0.0010113715872407626,0.027053910166861043,0.9801403608594298,0.031802068914471,8.740033864974976,20,0.520*(x1^8.990 + x2^1.630) + 0.730*cos(-9.080*x1 + -9.970*x2) * -0.580*cos(-9.060*x1 + -10.000*x2) * 0.200*cos(4.880*x1 + 0.040*x2) + 0.080,286,63.627669534966834
sphere,2,GA-OBN (v1),1,7.167084868331324e-05,0.006973131080214939,0.9985926466496531,0.008465863729313934,8.613389730453491,20,0.220*cos(-0.300*x1 + 0.800*x2) * 0.350*sin(1.070*x1 + -0.190*x2) * 0.270*sin(-1.440*x1 + -0.160*x2) + 0.560*(x1^2.390 + x2^1.990) + -0.010,300,686.8834682071729
sphere,2,GA-OBN (v1),2,7.958508237992335e-05,0.007323573326344994,0.9984372400441366,0.00892104715714043,11.850260019302368,20,0.700*(x1^1.620 + x2^2.310) * -0.020*(x1^2.440 + x2^2.060) * 0.640*(x1^2.400 + x2^2.450) + 0.570*(x1^2.310 + x2^1.740) + -0.020,100,681.0285911944608
sphere,2,GA-OBN (v1),3,0.0013173508332516087,0.02928239475881338,0.9741320475085895,0.036295327981044734,8.571574926376343,20,0.500*(x1^8.710 + x2^1.520) + -0.990*cos(2.360*x1 + 0.730*x2) * -0.550*sin(6.970*x1 + -3.870*x2) * -0.210*sin(5.080*x1 + -3.240*x2) + 0.110,294,41.20384282329946
sphere,2,GA-OBN (v1),4,0.00024270083725631735,0.011511572003344192,0.9952342431725074,0.015578858663468174,10.860602855682373,20,-0.040*cos(-4.360*x1 + 0.090*x2) + -0.110*cos(-4.900*x1 + -0.050*x2) * 0.430*(x1^2.060 + x2^1.660) + 0.490*(x1^9.450 + x2^2.270) + 0.080,299,221.81581930393872
sphere,2,GA-OBN (v2),0,3.8985619817881224e-05,0.004850268031801915,0.9992344650067075,0.00624384655624089,10.033576011657715,20,-0.740*cos(2.670*x1 + -0.130*x2) * 0.130*cos(-0.110*x1 + -0.870*x2) * 0.710*cos(-2.280*x1 + -0.140*x2) + 0.520*(x1^2.640 + x2^2.090) + 0.070,287,1518.7854088786273
sphere,2,GA-OBN (v2),1,0.0010634942935151233,0.024857893789334964,0.9791168615336648,0.03261126022580427,8.760469913482666,20,0.460*(x1^2.780 + x2^2.370) + -0.600*sin(-0.940*x1 + -8.610*x2) * 0.600*sin(-2.490*x1 + -9.970*x2) * 0.250*cos(-1.770*x1 + 1.280*x2) + 0.110,294,60.615190154897526
sphere,2,GA-OBN (v2),2,4.4718338791682745e-05,0.005469799428913445,0.999121895372015,0.006687177191587101,11.249648809432983,20,0.550*(x1^2.210 + x2^2.160) + -0.730*cos(-0.010*x1 + 0.040*x2) * -0.050*cos(-0.240*x1 + 0.140*x2) * -0.760*(x1^7.350 + x2^8.540) + 0.020,298,1252.2058410368684
sphere,2,GA-OBN (v2),3,0.00037507718882750265,0.015317208543063614,0.992634855760289,0.019366909635445264,9.006649017333984,20,-0.630*sin(5.920*x1 + -6.350*x2) * -0.570*cos(-1.730*x1 + 1.430*x2) * -0.140*sin(4.450*x1 + -7.990*x2) + 0.490*(x1^2.270 + x2^2.250) + 0.060,298,189.8826334829187
sphere,2,GA-OBN (v2),4,0.00019425142280499473,0.011543647818530813,0.9961856124809929,0.01393741090751775,9.957159042358398,20,0.290*(x1^3.070 + x2^2.340) + 0.240*(x1^1.780 + x2^2.130) + 0.070*sin(5.430*x1 + -7.070*x2) * -0.230*sin(10.000*x1 + -7.010*x2) + 0.040,290,300.02799793645187
